id,merchant_id,communication_id,customer_id,communication_type,delivery_status,sent_time,scheduled_time,credit_used,channel
1,501,9001,C1,2,900,2026-10-03 10:00:00,2026-10-03 10:00:00,1,sms
2,501,9001,C2,2,1100,2026-10-03 10:00:00,2026-10-03 10:00:00,1,sms
3,501,9002,C2,2,900,2026-10-04 10:00:00,2026-10-04 10:00:00,1,sms
4,501,9001,C3,2,1100,2026-10-03 10:00:00,2026-10-03 10:00:00,1,sms
5,501,9002,C3,2,1100,2026-10-04 10:00:00,2026-10-04 10:00:00,1,sms
6,501,9003,C3,2,900,2026-10-05 10:00:00,2026-10-05 10:00:00,1,sms
7,501,9001,C4,2,900,2026-10-03 10:00:00,2026-10-03 10:00:00,1,sms
8,501,9001,C5,2,900,2026-10-03 10:00:00,2026-10-03 10:00:00,1,sms
9,501,9001,C6,2,900,2026-10-03 10:00:00,2026-10-03 10:00:00,1,sms
10,501,9001,C7,2,900,2026-10-03 10:00:00,2026-10-03 10:00:00,1,sms
11,501,9001,C8,2,900,2026-10-03 10:00:00,2026-10-03 10:00:00,1,sms
12,501,9001,C9,2,900,2026-10-03 10:00:00,2026-10-03 10:00:00,1,sms
13,501,9001,C10,2,900,2026-10-03 10:00:00,2026-10-03 10:00:00,1,sms
14,501,9004,C11,2,900,2026-10-06 10:00:00,2026-10-06 10:00:00,1,sms
15,501,9004,C12,2,900,2026-10-06 10:00:00,2026-10-06 10:00:00,1,sms
16,501,9004,C13,2,900,2026-10-06 10:00:00,2026-10-06 10:00:00,1,sms
17,501,9004,C14,2,900,2026-10-06 10:00:00,2026-10-06 10:00:00,1,sms
18,501,9101,C20,2,900,2026-10-10 10:00:00,2026-10-10 10:00:00,1,sms
19,501,9101,C20,2,900,2026-10-20 10:00:00,2026-10-20 10:00:00,1,sms
20,501,9101,C21,2,900,2026-10-10 10:00:00,2026-10-10 10:00:00,1,sms
21,501,9101,C22,2,900,2026-10-10 10:00:00,2026-10-10 10:00:00,1,sms
22,501,9101,C23,2,900,2026-10-10 10:00:00,2026-10-10 10:00:00,1,sms
23,501,9101,C24,2,900,2026-10-10 10:00:00,2026-10-10 10:00:00,1,sms
24,501,9101,C25,2,900,2026-10-10 10:00:00,2026-10-10 10:00:00,1,sms
25,501,9201,D1,2,1100,2026-10-07 10:00:00,2026-10-07 10:00:00,1,sms
26,501,9202,D1,2,900,2026-10-08 10:00:00,2026-10-08 10:00:00,1,sms
27,501,9201,D2,2,900,2026-10-07 10:00:00,2026-10-07 10:00:00,1,sms
28,501,9201,D3,2,900,2026-10-07 10:00:00,2026-10-07 10:00:00,1,sms
29,501,9201,D4,2,900,2026-10-07 10:00:00,2026-10-07 10:00:00,1,sms
30,501,9201,D5,2,900,2026-10-07 10:00:00,2026-10-07 10:00:00,1,sms
